module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
solve,solve batch[41] n=5,float64,5,4,5,atol=1e-14,1×1ULP 1×2ULP 1×4ULP 1×5ULP,within atol=1e-14
solve,solve batch[42] n=8,float64,8,6,5,atol=1e-14,2×1ULP 2×2ULP 1×3ULP 1×5ULP,within atol=1e-14
solve,solve batch[43] n=6,float64,6,6,10,atol=1e-14,1×2ULP 1×3ULP 2×4ULP 1×5ULP 1×10ULP,within atol=1e-14
solve,solve batch[44] n=6,float64,6,5,5,atol=1e-14,1×1ULP 1×2ULP 1×3ULP 1×4ULP 1×5ULP,within atol=1e-14
solve,solve batch[45] n=7,float64,7,6,17,atol=1e-14,1×1ULP 2×2ULP 1×4ULP 1×8ULP 1×17ULP,within atol=1e-14
solve,solve batch[46] n=4,float64,4,3,5,atol=1e-14,2×1ULP 1×5ULP,within atol=1e-14
solve,solve batch[47] n=8,float64,8,7,16,atol=1e-14,2×2ULP 1×3ULP 1×4ULP 2×5ULP 1×16ULP,within atol=1e-14
solve,solve batch[48] n=5,float64,5,5,3,atol=1e-14,1×1ULP 2×2ULP 2×3ULP,within atol=1e-14
solve,solve batch[49] n=8,float64,8,8,34,atol=1e-14,1×1ULP 3×2ULP 1×3ULP 1×5ULP 1×7ULP 1×34ULP,within atol=1e-14
solve,solve batch[50] n=8,float64,8,7,6,atol=1e-14,2×1ULP 1×2ULP 2×3ULP 1×4ULP 1×6ULP,within atol=1e-14
solve,solve batch[51] n=4,float64,4,2,10,atol=1e-14,1×1ULP 1×10ULP,within atol=1e-14
solve,solve batch[52] n=8,float64,8,7,13,atol=1e-14,1×3ULP 2×8ULP 1×9ULP 1×10ULP 2×13ULP,within atol=1e-14
solve,solve batch[53] n=5,float64,5,5,10,atol=1e-14,1×4ULP 1×6ULP 1×7ULP 1×9ULP 1×10ULP,within atol=1e-14
solve,solve batch[54] n=4,float64,4,4,4,atol=1e-14,2×1ULP 2×4ULP,within atol=1e-14
solve,solve batch[55] n=8,float64,8,8,393,atol=1e-14,1×1ULP 1×3ULP 2×8ULP 1×12ULP 1×15ULP 1×48ULP 1×393ULP,within atol=1e-14
